"image","name","oldPrice","currentPrice","CPU","RAM","Ổ cứng","Card","M.Hình","Optional","Card rời"
"https://laptop88.vn/media/product/7967_laptop_msi_modern_15_b13m_297vn.jpg","[New 100%] Laptop MSI Modern 15 B13M 297VN - Intel Core i7 - 1355U | 15.6 Inch Full HD","26.990.000đ","18.790.000 đ","","16GB DDR4","SSD 512GB","","15.6"" Full HD, IPS",,
"https://laptop88.vn/media/product/7964_rog_zephyrus_g16.png","[Mới 100% Full Box] Laptop  Asus ROG Zephyrus G16 GU603VU N3898W - Intel Core i7 - 13620H | RTX4050 | 16 Inch Full HD 165Hz","46.990.000đ","40.490.000 đ","","16GB DDR4","SSD 512GB NVMe","Nvidia RTX 4050 ","16"" Full HD 165Hz",,
"https://laptop88.vn/media/product/7962_015w_1.jpeg","[Mới 100% Full Box] Laptop ASUS ROG Strix G16 G614JU-N3777W - Intel Core i7-13650HX | RTX 4050 6GB | 16 Inch WUXGA 165Hz","46.990.000đ","37.990.000 đ","","16GB DDR5","SSD 512GB NVMe","Nvidia RTX 4050 6GB","15.6"" WUXGA 165Hz",,
"https://laptop88.vn/media/product/7961_015w_1.jpeg","[Mới 100% Full Box] Laptop ASUS ROG Strix G16 G614JU-N3135W - Intel Core i5 - 13450HX | RTX 4050 6GB | 16 Inch WUXGA 165Hz","43.990.000đ","32.990.000 đ","","8GB DDR5","SSD 512GB NVMe","Nvidia RTX 4050 6GB","16"" WUXGA 165Hz",,
"https://laptop88.vn/media/product/7960_ac___asus_tuf_gaming_a15_fa507nu_lp034w.jpg","[Mới 100% Full Box] Laptop ASUS TUF Gaming A15 FA507NU-LP034W - AMD Ryzen 7-7735HS | RTX 4050 6GB | 15.6 Inch Full HD 144Hz","29.990.000đ","24.590.000 đ","","8GB DDR5","SSD 512GB NVMe","Nvidia RTX 4050 6GB","15.6"" Full HD 144Hz",,
"https://laptop88.vn/media/product/7958_techzones_asus_tuf_gaming_a15_fa507rm_hn018w_r7_6800h_8gb_512gb_4.jpg","[Mới 100% Full Box] Laptop ASUS TUF Gaming A15 FA507XI-LP420W - AMD Ryzen 9 - 7940HS | RTX 4070 8GB | 15.6 Inch Full HD 144Hz","48.990.000đ","37.990.000 đ","","8GB DDR5","SSD 512GB NVMe","Nvidia  RTX 4070 8GB","15.6"" Full HD 144Hz",,
"https://laptop88.vn/media/product/7955_t___i_xu___ng.jpg","[New 100%] Laptop ASUS TUF Gaming F15 FX507VV4-LP382W - Intel Core i9 - 13900H | RTX 4060 8GB | 15.6 Inch Full HD 144Hz 100% sRGB","46.990.000đ","35.390.000 đ","i9 - 13900H","16GB DDR4","SSD 512GB NMVe","Nvidia RTX 4060 8GB","15.6"" 144Hz 100% sRGB",,
"https://laptop88.vn/media/product/7914_rog_flow_z13_111111.jpg","[New 100%] Laptop Gaming ASUS ROG FLOW Z13 2023 GZ301 - Intel core i9 13900H| RTX 4060 | 13 Inch QHD 165Hz","","Liên Hệ","","DDR5","SSD ","RTX 4060","13""QHD 165Hz",,
"https://laptop88.vn/media/product/7913_asus_rog_flow_x13_2023_thinkpro_01.png","[New 100%] Laptop Gaming ASUS ROG Flow X13 2023 GV302XI - Ryzen 9 7940HS | RTX 4070 | 13.4 inch QHD+ 100%DCI-P3 165Hz","","Liên Hệ","","32GB LPDDR5","1TB","RTX 4070","100%DCI-P3 165Hz",,
"https://laptop88.vn/media/product/7912_","[New 100%] Laptop Gaming ASUS ROG Zephyrus M16 2023 GU604 - Intel core i9 13900H| RTX 4090 | 16 Inch QHD 100% DCI - P3 240Hz","","Liên Hệ","","DDR5 up to 64GB","SSD up to 2TB","RTX 4090","100%DCI-P3 240Hz",,
"https://laptop88.vn/media/product/pro_poster_7911.jpg","[New 100%] Laptop Lenovo Ideapad 5 Pro 14IAP7 82SH0004US - Intel Core i5 1240p | 8GB | 14 Inch 2.2K 100% sRGB","19.990.000đ","13.990.000 đ","i5 - 1240P","8GB DDR5","SSD 512GB NVMe ","Intel Iris Xe Graphics","14"" 2.2K 100% sRGB",,
"https://laptop88.vn/media/product/7910_t___i_xu___ng.jpg","[New Outlet] Laptop Dell Alienware M15 R7 - Intel Core  i7-12700H | RTX 3060 | 15.6 Inch 2K 240Hz","","Liên Hệ","i7 - 12700H","16GB DDR5","SSD 1TB","Nvidia RTX 3060","15.6"" 2K 240Hz",,
"https://laptop88.vn/media/product/7909_asus_rog_zephyrus_g14_2023_display_miniled.jpg","[New 100%] Laptop Gaming ASUS ROG Zephyrus G14 2023 - Ryzen 9 7490HS| RTX 4090 | 14 Inch QHD+ 100% DCI - P3 240Hz","","Liên Hệ","","DDR5","SSD up to 2TB","RTX 4090","100%DCI-P3 165Hz",,
